,country_name,casted,gender,education,employement,closeness_party,turnout,women_in_parliament
497,Australia,95,1,6,1,2,89.82,999.0
498,Australia,95,2,4,1,9,999.0,999.0
499,Australia,95,1,8,8,3,93.85,999.0
500,Australia,95,2,4,7,2,89.49,999.0
501,Australia,95,1,6,4,2,91.44,999.0
502,Australia,95,2,5,2,9,93.17,999.0
503,Australia,95,1,5,13,9,94.31,999.0
504,Australia,95,2,7,2,9,94.18,999.0
505,Australia,95,2,7,7,2,92.03,999.0
506,Australia,95,1,6,1,1,94.13,999.0
507,Australia,95,2,8,1,9,999.0,999.0
508,Australia,95,2,7,2,2,91.71,999.0
509,Australia,95,2,4,1,2,94.19,999.0
510,Australia,95,2,7,7,9,93.39,999.0
511,Australia,95,2,7,2,2,93.31,999.0
512,Australia,95,2,7,2,2,84.05,999.0
513,Australia,95,1,4,7,2,92.05,999.0
514,Australia,95,2,8,2,9,94.35,999.0
515,Australia,95,2,7,2,3,93.12,999.0
516,Australia,95,2,4,1,2,91.33,999.0
517,Australia,95,1,8,1,2,94.18,999.0
518,Australia,95,1,7,1,3,92.88,999.0
519,Australia,95,2,7,7,2,94.34,999.0
520,Australia,95,2,4,1,9,89.82,999.0
521,Australia,95,1,5,7,1,90.26,999.0
522,Australia,95,1,7,1,1,89.61,999.0
523,Australia,95,2,4,7,2,92.64,999.0
524,Australia,95,1,3,1,2,90.92,999.0
525,Australia,95,2,6,7,2,93.91,999.0
526,Australia,95,2,7,1,9,999.0,999.0
527,Australia,95,2,5,1,2,92.87,999.0
528,Australia,95,1,5,7,2,94.82,999.0
529,Australia,95,1,7,7,3,91.67,999.0
530,Australia,95,2,4,3,9,999.0,999.0
531,Australia,95,1,7,7,2,92.12,999.0
532,Australia,95,1,7,1,3,92.58,999.0
533,Australia,95,1,4,7,3,92.45,999.0
534,Australia,95,2,8,2,2,92.85,999.0
535,Australia,95,1,5,6,2,91.52,999.0
536,Australia,95,2,7,2,2,92.7,999.0
537,Australia,95,1,7,7,3,93.85,999.0
538,Australia,95,1,4,1,2,92.65,999.0
539,Australia,95,1,6,1,9,93.82,999.0
540,Australia,95,1,7,1,2,90.92,999.0
541,Australia,95,1,6,7,2,92.45,999.0
542,Australia,95,2,6,7,3,999.0,999.0
543,Australia,95,1,7,7,2,94.18,999.0
544,Australia,95,2,7,2,9,92.26,999.0
545,Australia,95,1,6,7,1,90.28,999.0
546,Australia,95,1,6,1,2,92.65,999.0
547,Australia,95,2,99,1,2,94.39,999.0
548,Australia,95,2,7,7,2,93.38,999.0
549,Australia,95,2,4,7,1,89.92,999.0
550,Australia,95,2,8,1,2,90.92,999.0
551,Australia,95,2,5,7,2,88.57,999.0
552,Australia,95,2,7,1,2,93.61,999.0
553,Australia,95,2,7,1,9,94.82,999.0
554,Australia,95,2,8,1,1,92.15,999.0
555,Australia,95,2,5,1,9,89.4,999.0
556,Australia,95,2,4,8,9,89.21,999.0
557,Australia,95,2,7,7,1,93.85,999.0
558,Australia,95,1,8,1,2,93.05,999.0
559,Australia,95,2,5,6,9,89.92,999.0
560,Australia,95,1,7,1,1,94.82,999.0
561,Australia,95,1,4,1,9,999.0,999.0
562,Australia,95,2,7,3,9,88.82,999.0
563,Australia,95,1,7,1,1,91.52,999.0
564,Australia,95,2,8,1,9,91.33,999.0
565,Australia,95,2,5,1,2,88.57,999.0
566,Australia,95,2,4,97,2,89.21,999.0
567,Australia,95,1,5,1,2,93.31,999.0
568,Australia,95,1,4,1,9,86.3,999.0
569,Australia,95,1,7,1,2,91.52,999.0
570,Australia,95,2,8,7,2,92.85,999.0
